"file","rule_id","standard","category","p21_id","core_id","cg_ids","fda_ids","source_doc","has_p21","has_core","has_cg"
"HRL-AD-0088.yaml","HRL-AD-0088","ADaM","Cross-reference","AD0108","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0089.yaml","HRL-AD-0089","ADaM","Consistency","AD0109","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0090.yaml","HRL-AD-0090","ADaM","Consistency","AD0109B","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0091.yaml","HRL-AD-0091","ADaM","Consistency","AD0110","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0092.yaml","HRL-AD-0092","ADaM","Consistency","AD0110B","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0093.yaml","HRL-AD-0093","ADaM","Presence","AD0111","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0094.yaml","HRL-AD-0094","ADaM","Consistency","AD0112","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0095.yaml","HRL-AD-0095","ADaM","Presence","AD0113","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0096.yaml","HRL-AD-0096","ADaM","Consistency","AD0115","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0097.yaml","HRL-AD-0097","ADaM","Consistency","AD0117","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0098.yaml","HRL-AD-0098","ADaM","Consistency","AD0117B","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0099.yaml","HRL-AD-0099","ADaM","Consistency","AD0118","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0100.yaml","HRL-AD-0100","ADaM","Consistency","AD0118B","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0101.yaml","HRL-AD-0101","ADaM","Consistency","AD0121","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0102.yaml","HRL-AD-0102","ADaM","Consistency","AD0122","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0103.yaml","HRL-AD-0103","ADaM","Consistency","AD0123","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0104.yaml","HRL-AD-0104","ADaM","Consistency","AD0124","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0105.yaml","HRL-AD-0105","ADaM","Consistency","AD0125","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0106.yaml","HRL-AD-0106","ADaM","Consistency","AD0125B","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0107.yaml","HRL-AD-0107","ADaM","Consistency","AD0126","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0108.yaml","HRL-AD-0108","ADaM","Consistency","AD0126B","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0109.yaml","HRL-AD-0109","ADaM","Presence","AD0127","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0110.yaml","HRL-AD-0110","ADaM","Presence","AD0127A","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0111.yaml","HRL-AD-0111","ADaM","Consistency","AD0129","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0112.yaml","HRL-AD-0112","ADaM","Consistency","AD0130","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0113.yaml","HRL-AD-0113","ADaM","Consistency","AD0132","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0114.yaml","HRL-AD-0114","ADaM","Consistency","AD0132A","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0115.yaml","HRL-AD-0115","ADaM","Consistency","AD0132B","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0116.yaml","HRL-AD-0116","ADaM","Consistency","AD0133","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0117.yaml","HRL-AD-0117","ADaM","Presence","AD0133A","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0118.yaml","HRL-AD-0118","ADaM","Consistency","AD0133B","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0119.yaml","HRL-AD-0119","ADaM","Consistency","AD0133C","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0120.yaml","HRL-AD-0120","ADaM","Consistency","AD0134","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0121.yaml","HRL-AD-0121","ADaM","Presence","AD0134A","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0122.yaml","HRL-AD-0122","ADaM","Consistency","AD0134B","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0123.yaml","HRL-AD-0123","ADaM","Consistency","AD0134C","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0124.yaml","HRL-AD-0124","ADaM","Consistency","AD0135","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0125.yaml","HRL-AD-0125","ADaM","Consistency","AD0135B","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0126.yaml","HRL-AD-0126","ADaM","Consistency","AD0136","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0127.yaml","HRL-AD-0127","ADaM","Consistency","AD0136B","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0128.yaml","HRL-AD-0128","ADaM","Consistency","AD0137","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0129.yaml","HRL-AD-0129","ADaM","Consistency","AD0141","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0130.yaml","HRL-AD-0130","ADaM","Consistency","AD0142","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0131.yaml","HRL-AD-0131","ADaM","Format","AD0143","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0132.yaml","HRL-AD-0132","ADaM","Consistency","AD0146","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0133.yaml","HRL-AD-0133","ADaM","Consistency","AD0146B","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0134.yaml","HRL-AD-0134","ADaM","Consistency","AD0147","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0135.yaml","HRL-AD-0135","ADaM","Consistency","AD0147B","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0136.yaml","HRL-AD-0136","ADaM","Format","AD0148","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0137.yaml","HRL-AD-0137","ADaM","Consistency","AD0149","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0138.yaml","HRL-AD-0138","ADaM","Consistency","AD0149B","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0139.yaml","HRL-AD-0139","ADaM","Consistency","AD0150","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0140.yaml","HRL-AD-0140","ADaM","Consistency","AD0151","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0141.yaml","HRL-AD-0141","ADaM","Consistency","AD0152","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0142.yaml","HRL-AD-0142","ADaM","Consistency","AD0153","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0143.yaml","HRL-AD-0143","ADaM","Consistency","AD0154","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0144.yaml","HRL-AD-0144","ADaM","Presence","AD0156","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0145.yaml","HRL-AD-0145","ADaM","Presence","AD0157","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0146.yaml","HRL-AD-0146","ADaM","Presence","AD0158","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0147.yaml","HRL-AD-0147","ADaM","Consistency","AD0159","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0148.yaml","HRL-AD-0148","ADaM","Presence","AD0160","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0149.yaml","HRL-AD-0149","ADaM","Consistency","AD0161","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0150.yaml","HRL-AD-0150","ADaM","Consistency","AD0162","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
